,y,x
AL00,41.24754036495607,19.90938853654604
AT00,47.42289414466582,14.267522005558902
BA00,44.04603258490751,17.78984049238517
BE00,50.79357246663185,4.730904605852417
BG00,42.70502882359626,25.074090968542883
CH00,46.96700546779974,8.684527397188022
CY00,34.962375061145444,33.10792708582795
CZ00,49.72127287577499,14.890517112072391
DE00,51.48512090570584,9.858633559463444
DEKF,,
DKE1,55.44689258403776,11.58385059110358
DKKF,,
DKW1,56.00016453643451,9.091870165049627
EE00,58.79991861145173,25.36162698515189
ES00,40.03951281419488,-3.673416265589743
FI00,62.40152787399869,26.285852155604296
FR00,47.04976644665322,2.176451795192523
GR00,39.08772924455294,21.74770455211898
GR03,35.25145340260898,24.814757384185384
HR00,45.64623613966806,16.33243939550173
HU00,47.05199115001828,18.752535770804126
IE00,52.86774005227327,-8.206709979520799
ITCA,39.28373914019521,16.480491200946435
ITCN,43.59229631094469,10.514114988567249
ITCS,42.170193232090085,12.239332206604606
ITN1,45.4877786169618,10.490153638316732
ITS1,40.8786393603002,16.4325685004454
ITSA,40.182956209623036,9.047869798683351
ITSI,37.49975439199716,14.132278876395592
ITVI,,
LT00,55.19786587514017,24.3029790271407
LUB1,49.84092578402817,5.97254555497864
LUF1,49.84092578402817,5.97254555497864
LUG1,49.84092578402817,5.97254555497864
LUV1,49.84092578402817,5.97254555497864
LV00,56.89711230019505,25.045780354391624
ME00,42.84793934701569,19.112607748726024
MK00,41.62390061178644,21.412897372775834
MT00,35.88236188469656,14.43594203044115
NL00,52.10071020236795,5.44839945490477
NOM1,63.03597746113253,10.283860007754393
NON1,69.06701661237612,18.541195908417812
NOS0,59.81077958778975,9.637633789369538
PL00,52.10462398083042,19.187422277184353
PLE0,,
PLI0,,
PT00,40.23675489163696,-8.283497002200749
RO00,46.12016403634707,25.10486094423032
RS00,44.22216026712646,20.509474044076374
SE01,67.32341604141484,20.81360811216352
SE02,63.76227201933121,16.002812451064848
SE03,60.28011730296472,14.746261345553998
SE04,57.56098680804064,13.98700519158699
SI00,46.13970690847526,14.51654936050448
SK00,48.58007638768679,18.73529904494695
TN00,36.28401513347674,9.641131966116737
TR00,38.69174678670358,30.996040459988404
UA02,49.64435137360922,30.42475144022015
UK00,53.25684897916226,-1.8311055220795236
UKNI,54.65150431281455,-6.948223098325173